index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://agribegri.com/admin/images/prod_image/c5d162461b378874fbf67809033ad226-08-03-23-15-54-53.jpg,https://agribegri.com/products/buy-propiconazole--25-ec-systematic-fungicide-online-.php
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://agribegri.com/admin/images/prod_image/cb79c83c76b7868e846a7457897d7aa5-06-30-20-16-22-55.jpeg,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://static1.industrybuying.com/products/agriculture-garden-landscaping/fertilizer-and-pest-control/fungicide/AGR.FUN.26181733_1668247173507.webp,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://m.media-amazon.com/images/I/71sMCqdtHAL._SY879_.jpg,https://www.amazon.in/Green-Yantra-Booster-Nutrition-Panchgvaya/dp/B082YBSLH4
4,Blueberry___healthy,GreenStix Fertilizer,https://m.media-amazon.com/images/I/71R+Sn0lJGL._SL1080_.jpg,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
5,Cherry___Powdery_mildew,ROM Mildew Clean,https://agribegri.com/admin/images/prod_image/0bcd9bcaa893de4a9e2d2ee90e1f8c4b-05-13-19-16-37-23.jpg,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
6,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://plantic.in/products/organic-bloomdrop
7,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
8,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://agribegri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php
9,Corn___Northern_Leaf_Blight,KAGUYA (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://5.imimg.com/data5/HJ/FW/AE/GLADMIN-3061/iffco-kaguya-fungicide-500x500.png,https://www.iffcobazar.in/en/product/kaguya-carbendazim-12-mancozeb-63-wp#kaguya-500-gm
10,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://m.media-amazon.com/images/I/819w2eSYf6L._SL1500_.jpg,https://www.amazon.in/Biomass-Lab-Sampoorn-Multipurpose-Fertilizer/dp/B07W8N4BVH
11,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://cdn.domyown.com/images/thumbnails/SOUTHERNAG01600/SOUTHERNAG01600.jpg.thumb_500x500.jpg,https://www.amazon.in/Southern-Ag-Captan-50-Fungicide/dp/B000YHB4HW
12,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://agribegri.com/admin/images/prod_image/28876a326bba2ff9454e1c50ecc69969-12-19-23-10-03-45.jpg,https://www.bighaat.com/products/aliette?variant=14521310151&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=Google&utm_medium=CPC&utm_campaign=18815455412&utm_adgroup=&utm_term=&creative=&device=c&devicemodel=&matchtype=&feeditemid=&targetid=&network=x&placement=&adposition=&GA_loc_interest_ms=&GA_loc_physical_ms=9299754&gad_source=1&gclid=CjwKCAjwtqmwBhBVEiwAL-WAYS6uqPsDLveMRugV708H77wIzXMHr7RHCetHfGY-0Uy9So6ewLATRRoC-TAQAvD_BwE
